timestamp,x,y,z_raw,z_filtered,proj_t,phase_state,height_state
1.77012e+09,-0.0704402,6.51777,-0.308393,-0.299223,-0.0429338,1,2
1.77012e+09,-0.101457,6.50666,-0.310734,-0.302334,-0.0704402,1,2
1.77012e+09,-0.130411,6.59918,-0.315886,-0.305242,-0.101457,1,2
1.77012e+09,-0.155085,6.55126,-0.316468,-0.308434,-0.130411,1,2
1.77012e+09,-0.177353,6.4872,-0.317069,-0.310482,-0.155085,1,2
1.77012e+09,-0.193657,6.32445,-0.31328,-0.31371,-0.177353,2,2
1.77012e+09,-0.224182,6.64689,-0.328462,-0.314687,-0.193657,2,2
1.77012e+09,-0.239215,6.59092,-0.328458,-0.318233,-0.224182,2,2
1.77012e+09,-0.255284,6.5557,-0.330234,-0.320747,-0.239215,2,2
1.77012e+09,0.26526,6.62304,-0.501159,-0.323501,-0.255284,2,2
1.77012e+09,0.250486,6.71514,-0.506725,-0.360319,0.26526,2,2
1.77012e+09,0.23037,6.63492,-0.500712,-0.399008,0.250486,2,2
1.77012e+09,0.200376,6.33874,-0.483662,-0.433458,0.23037,2,2
1.77012e+09,0.181651,6.40137,-0.487251,-0.464499,0.200376,0,0
1.77012e+09,0.157476,6.37689,-0.48721,-0.495902,0.181651,0,0
1.77012e+09,0.136783,6.60147,-0.502535,-0.493112,0.157476,0,0
1.77012e+09,0.110046,6.56911,-0.502073,-0.492274,0.136783,1,0
1.77012e+09,0.0850375,6.90012,-0.525914,-0.492546,0.110046,1,0
1.77012e+09,0.0517786,6.68097,-0.514993,-0.500996,0.0850375,1,0
1.77012e+09,0.0231767,6.88716,-0.529143,-0.506545,0.0517786,1,0
1.77012e+09,-0.00721663,6.64631,-0.515827,-0.514931,0.0231767,1,0
1.77012e+09,-0.0381426,6.67884,-0.519389,-0.51759,-0.00721663,1,0
1.77012e+09,-0.0646761,6.54313,-0.51257,-0.521053,-0.0381426,1,0
1.77012e+09,-0.0947306,6.65696,-0.522979,-0.518385,-0.0646761,1,0
1.77012e+09,-0.123323,6.73658,-0.531114,-0.519982,-0.0947306,1,0
1.77012e+09,-0.152804,6.81092,-0.538544,-0.520376,-0.123323,1,0
1.77012e+09,-0.172107,6.57715,-0.524983,-0.524919,-0.152804,1,0
1.77012e+09,-0.197601,6.7112,-0.534314,-0.526038,-0.172107,2,0
1.77012e+09,-0.211332,6.5556,-0.527233,-0.530387,-0.197601,2,0
1.77012e+09,-0.239001,6.8362,-0.547047,-0.531238,-0.211332,2,0
1.77012e+09,-0.254224,6.8751,-0.551167,-0.534424,-0.239001,2,0
1.77012e+09,0.254134,6.66819,-0.40143,-0.536949,-0.254224,2,0
1.77012e+09,0.229188,6.47275,-0.39238,-0.512238,0.254134,2,0
1.77012e+09,0.213476,6.5777,-0.399679,-0.483852,0.229188,2,0
1.77012e+09,0.19494,6.71875,-0.405892,-0.458341,0.213476,2,0
1.77012e+09,0.163305,6.53341,-0.398743,-0.43011,0.19494,0,0
1.77012e+09,0.143439,6.66327,-0.405068,-0.399625,0.163305,0,0
1.77012e+09,0.110464,6.46758,-0.398671,-0.400352,0.143439,1,0
1.77012e+09,0.0869267,6.53128,-0.403478,-0.401611,0.110464,1,0
1.77012e+09,0.0583257,6.68547,-0.412571,-0.402371,0.0869267,1,0
1.77012e+09,0.0286993,6.72954,-0.41572,-0.403706,0.0583257,1,0
1.77012e+09,-0.00281523,6.52804,-0.407534,-0.407102,0.0286993,1,0
1.77012e+09,-0.0335712,6.53764,-0.411998,-0.407595,-0.00281523,1,0
1.77012e+09,-0.0669597,6.72731,-0.424284,-0.41026,-0.0335712,1,0
1.77012e+09,-0.0944757,6.47871,-0.414831,-0.414421,-0.0669597,1,0
1.77012e+09,-0.12213,6.51186,-0.418547,-0.414874,-0.0944757,1,0
1.77012e+09,-0.14583,6.45087,-0.417244,-0.415439,-0.12213,1,0
1.77012e+09,-0.175033,6.65949,-0.430332,-0.417381,-0.14583,1,0
1.77012e+09,-0.184334,6.20794,-0.410557,-0.421048,-0.175033,2,0
1.77012e+09,-0.218414,6.70491,-0.437813,-0.418302,-0.184334,2,0
1.77012e+09,-0.241935,6.80607,-0.445339,-0.422898,-0.218414,2,0
1.77012e+09,-0.254733,6.70235,-0.442298,-0.428257,-0.241935,2,0
1.77012e+09,0.260333,6.89938,-0.303685,-0.433267,-0.254733,2,0
1.77012e+09,0.235051,6.65538,-0.296274,-0.407938,0.260333,2,0
1.77012e+09,0.218472,6.69099,-0.296876,-0.385081,0.235051,2,0
1.77012e+09,0.19516,6.64319,-0.297402,-0.356894,0.218472,2,0
1.77012e+09,0.169719,6.5425,-0.293544,-0.327307,0.19516,0,1
1.77012e+09,0.145638,6.47194,-0.292712,-0.297556,0.169719,0,1
1.77012e+09,0.118929,6.53042,-0.293809,-0.295361,0.145638,0,1
1.77012e+09,0.0934712,6.67977,-0.301038,-0.294868,0.118929,1,1
1.77012e+09,0.0641581,6.52952,-0.298004,-0.295701,0.0934712,1,1
1.77012e+09,0.0347072,6.56799,-0.301491,-0.295821,0.0641581,1,1
1.77012e+09,0.00535256,6.44384,-0.299355,-0.297411,0.0347072,1,1
1.77012e+09,-0.026794,6.63741,-0.307213,-0.298739,0.00535256,1,1
1.77012e+09,-0.0538051,6.4519,-0.304762,-0.30142,-0.026794,1,1
1.77012e+09,-0.0837507,6.61016,-0.311527,-0.302165,-0.0538051,1,1
1.77012e+09,-0.11141,6.53444,-0.31101,-0.30487,-0.0837507,1,1
1.77012e+09,-0.136848,6.49748,-0.313616,-0.306774,-0.11141,1,1
1.77012e+09,-0.166376,6.63728,-0.320162,-0.309626,-0.136848,1,1
1.77012e+09,-0.185013,6.46112,-0.316206,-0.312216,-0.166376,2,1
1.77012e+09,-0.208969,6.54021,-0.32289,-0.314504,-0.185013,2,1
1.77012e+09,-0.229781,6.56054,-0.325513,-0.316777,-0.208969,2,1
1.77012e+09,-0.255413,6.76302,-0.334656,-0.319678,-0.229781,2,1
1.77012e+09,-0.256058,6.42539,-0.325033,-0.323885,-0.255413,2,1
1.77012e+09,0.261594,6.75727,-0.509505,-0.32486,-0.256058,2,1
1.77012e+09,0.235465,6.50913,-0.493579,-0.36352,0.261594,2,1
1.77012e+09,0.219558,6.56004,-0.497288,-0.397657,0.235465,2,1
1.77012e+09,0.196336,6.48485,-0.492296,-0.432012,0.219558,0,1
